"iteration","x","y","length"
"3613","53","48","100.87616170334793"
"4550","-65","-39","100.69756700139284"
"6816","36","70","100.39920318408906"
"9653","-56","-45","100.39920318408906"
"3057","41","-62","100.83650132764424"
"4064","-92","-28","101.50862032359616"
"12412","-69","37","101.05444077327824"
"8086","-80","-32","101.19288512538814"
"7309","-41","-62","100.83650132764424"
"1695","76","-33","100.15987220439132"
"2129","-46","55","100.59821071967433"
"4690","81","31","100.2197585309404"
"5690","40","-64","101.19288512538814"
"2890","36","70","100.39920318408906"
"6973","57","44","100.15987220439132"
"4469","102","-25","100.99504938362078"
"9288","60","42","100.39920318408906"
"10946","66","38","100.15987220439132"
"4183","-85","-30","100.99504938362078"
"4251","-31","82","100.83650132764424"
"7848","-84","-30","100.39920318408906"
"11437","132","19","100.15987220439132"
"3431","-52","49","100.9554357129917"
"9579","-51","50","100.99504938362078"
"3597","-96","27","101.82337649086284"
"4723","-33","78","101.46920715172658"
"6044","-87","29","100.45894683899488"
"6658","59","-43","100.73728207570423"
"2145","55","-46","100.59821071967433"
"6386","41","61","100.0199980003999"
"8282","29","87","100.45894683899488"
"7611","-19","134","100.91580649234291"
"5008","43","-59","100.73728207570423"
"7158","-69","37","101.05444077327824"
"1672","-64","40","101.19288512538814"
"4877","71","-36","101.11379727811631"
"1976","-74","-34","100.31948963187563"
"2757","57","44","100.15987220439132"
"2404","31","-81","100.2197585309404"
"8440","69","37","101.05444077327824"
"2152","87","-29","100.45894683899488"
"8040","-36","-70","100.39920318408906"
"2893","-40","-63","100.39920318408906"
"4828","61","41","100.0199980003999"
"4897","-63","-40","100.39920318408906"
"3880","-70","36","100.39920318408906"
"8741","-44","57","100.15987220439132"
"15117","-33","-76","100.15987220439132"
"7074","-39","-65","100.69756700139284"
"1294","39","-65","100.69756700139284"
"7252","66","-38","100.15987220439132"
"5144","-66","-38","100.15987220439132"
"8547","55","46","100.59821071967433"
"3218","-69","37","101.05444077327824"
"2693","-67","38","100.91580649234291"
"3256","38","66","100.15987220439132"
"3133","-50","51","100.99504938362078"
"3955","88","-29","101.03464752252071"
"14397","-76","-33","100.15987220439132"
"2042","-74","34","100.31948963187563"
"8114","-74","-34","100.31948963187563"
"15295","-78","33","101.46920715172658"
"3282","-95","27","101.2916580968048"
"5554","41","-61","100.0199980003999"
"4604","-60","-42","100.39920318408906"
"6796","-58","-44","101.03464752252071"
"8501","-91","-28","100.9554357129917"
"3611","44","-57","100.15987220439132"
"3717","-105","-24","100.39920318408906"
"5047","-27","94","100.75713374248"
"6841","-72","35","100.39920318408906"
"3328","-34","74","100.31948963187563"
"12656","70","-36","100.39920318408906"
"8674","-65","-39","100.69756700139284"
"9483","44","-57","100.15987220439132"
"8838","-38","-66","100.15987220439132"
"1933","44","57","100.15987220439132"
"2826","50","50","100.0"
"2957","-32","79","100.55844071981228"
"7478","-50","50","100.0"
"20901","56","-45","100.39920318408906"
"7341","79","32","100.55844071981228"
"3949","40","63","100.39920318408906"
"5126","-36","-70","100.39920318408906"
"14395","40","-63","100.39920318408906"
"6250","-74","-34","100.31948963187563"
"5047","-72","-35","100.39920318408906"
"30361","53","-48","100.87616170334793"
"6124","40","64","101.19288512538814"
"12959","-56","45","100.39920318408906"
"7019","24","-105","100.39920318408906"
"4435","35","-72","100.39920318408906"
"11057","-76","33","100.15987220439132"
"5409","-79","32","100.55844071981228"
"5486","40","-64","101.19288512538814"
"5408","-58","-44","101.03464752252071"
"9771","-79","-32","100.55844071981228"
"4705","75","-34","100.99504938362078"
"4455","38","-67","100.91580649234291"
"5964","74","-34","100.31948963187563"
